overall_pick,year,team,player,college/former,position,height,years_played,games,win_shares,win_shares_40,minutes_played,points,total_rebounds,assists,spg,bpg,fg%,3-fg%,ft%
28,2012,Los Angeles Sparks,April Sykes,Rutgers University,null,null,1,30,0.5,0.081,8.6,3.1,1.1,0.6,null,null,null,null,null
29,2012,Tulsa Shock,Lynetta Kizer,Maryland,null,null,7,180,5,0.086,12.9,5.8,2.8,0.3,null,null,null,null,null
30,2012,Phoenix Mercury,Christine Flores,Missouri,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
31,2012,Minnesota Lynx,Jacki Gemelos,USC,null,null,2,35,-0.2,-0.028,8.8,1.9,0.8,0.6,null,null,null,null,null
32,2012,Atlanta Dream,Isabelle Yacoubou,Valencia (Spain),null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
33,2012,Phoenix Mercury,Amanda Johnson,Oregon,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
34,2012,Indiana Fever,Courtney Hurt,VCU,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
35,2012,Washington Mystics,Briana Gilbreath-Butler,USC,null,null,4,54,0.6,0.024,20,4.2,2.9,1.1,null,null,null,null,null
36,2012,New York Liberty,Katelan Redmon,Gonzaga,null,null,1,7,-0.1,-0.134,6,1,1.1,0.3,null,null,null,null,null
1,2011,Minnesota Lynx,Maya Moore,UConn,Forward,6'0,8,271,53.5,0.253,31.2,18.4,5.9,3.3,1.7,0.6,45.3%,38.4%,86%
2,2011,Tulsa Shock,Liz Cambage,Bulleen Boomers (Australia),Center,6'8,6,167,20.1,0.197,24.5,15.8,7.5,1.6,0.7,1.6,53.9%,28%,75.8%
3,2011,Chicago Sky,Courtney Vandersloot,Gonzaga,Guard,5'8,12,359,29.7,0.117,28.3,10.2,3.2,6.6,1.3,0.4,45.2%,34%,83.1%
4,2011,Minnesota Lynx,Amber Harris,Xavier,Forward,6'5,5,112,1.9,0.079,8.4,2.7,1.8,0.5,0.2,0.3,39.4%,0%,70.7%
5,2011,Los Angeles Sparks,Jantel Lavender,Ohio State,Forward,6'4,11,342,15.8,0.092,20.1,8.1,4.6,1,0.3,0.5,49.5%,22.9%,81.9%
6,2011,San Antonio Silver Stars,Danielle Robinson,Oklahoma,Guard,5'9,11,327,17.8,0.082,26.5,9.1,2.8,4.2,1.1,0.1,43.3%,19.9%,86.3%
7,2011,Tulsa Shock,Kayla Pedersen,Stanford,Forward,6'4,6,184,2.4,0.033,15.9,3.4,3,1.1,0.6,0.3,37.5%,30.5%,70.7%
8,2011,Atlanta Dream,Ta'Shia Phillips,Xavier,Center,6'6,1,15,0.2,0.104,4.8,1.5,1.3,0.1,0,0.2,53.3%,0%,50%
9,2011,Indiana Fever,Jeanette Pohlen-Mavunga,Stanford,Guard,6'0,6,148,3.9,0.078,13.4,3.4,1.2,0.8,0.4,0.1,42.7%,42%,82.5%
10,2011,New York Liberty,Alex Montgomery,Georgia Tech,Guard-Forward,6'1,8,216,2.5,0.028,16.3,4.2,3.4,1.2,0.5,0.2,37.4%,34.1%,76.5%
11,2011,Washington Mystics,Victoria Dunlap,Kentucky,Forward,6'1,2,31,0.3,0.046,8,2.3,1.7,0.4,0.6,0.2,41.8%,33.3%,55.6%
12,2011,Seattle Storm,Jasmine Thomas,Duke,Guard,5'9,12,358,11.7,0.05,26,9.6,2.8,3.7,1.2,0.2,36.9%,29.7%,77%
13,2011,Minnesota Lynx,Jessica Breland,UNC,null,null,9,269,10.8,0.076,21.2,7.1,5.9,1.4,null,null,null,null,null
14,2011,Minnesota Lynx,Felicia Chester,DePaul,null,null,1,4,0,0.068,6.8,0.5,2,0,null,null,null,null,null
15,2011,Chicago Sky,Carolyn Swords,Boston College,null,null,9,250,9.6,0.123,12.5,3.7,3.3,0.5,null,null,null,null,null
16,2011,Connecticut Sun,Sydney Colson,Texas A&M,null,null,8,182,1.7,0.032,11.8,3.1,0.9,1.9,null,null,null,null,null
17,2011,Chicago Sky,Angie Bjorklund,Tennessee,null,null,1,7,-0.1,-0.067,6.1,1.1,0.3,0.3,null,null,null,null,null
18,2011,Atlanta Dream,Rachel Jarry,Bulleen Boomers (Australia),null,null,1,27,0.3,0.07,6.8,1.7,0.7,0.4,null,null,null,null,null
19,2011,Phoenix Mercury,Brittany Spears,Colorado,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
20,2011,San Antonio Silver Stars,Danielle Adams,Texas A&M,null,null,6,174,10.4,0.125,19.1,10.5,3.9,0.8,null,null,null,null,null
21,2011,Tulsa Shock,Italee Lucas,UNC,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
22,2011,New York Liberty,Angel Robinson,Marquette,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
23,2011,Washington Mystics,Karima Christmas-Kelly,Duke,null,null,10,243,15.1,0.108,22.9,7.9,3.7,1.3,null,null,null,null,null
24,2011,Seattle Storm,Ify Ibekwe,Arizona,null,null,2,9,-0.2,-0.251,3.4,0.7,0.9,0,null,null,null,null,null
25,2011,Tulsa Shock,Chastity Reed,Little Rock,null,null,1,11,-0.5,-0.125,13.2,3.5,1.9,0.7,null,null,null,null,null
26,2011,Minnesota Lynx,Kachine Alexander,Iowa,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
27,2011,Chicago Sky,Amy Jaeschke,Northwestern,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
28,2011,Connecticut Sun,Adrienne Johnson,Louisiana Tech,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
29,2011,Los Angeles Sparks,Elina Babkina,Lotos VBW Clima Gdynia (Poland),null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
30,2011,San Antonio Silver Stars,Porsha Phillips,Georgia,null,null,1,31,0.3,0.052,8.3,1.8,1.9,0.3,null,null,null,null,null
31,2011,Phoenix Mercury,Tahnee Robinson,Nevada,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
32,2011,Atlanta Dream,Kelsey Bolte,Iowa State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
33,2011,Indiana Fever,Jori Davis,Indiana,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
34,2011,New York Liberty,Mekia Valentine,UC Santa Barbara,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
35,2011,Washington Mystics,Sarah Krnjic,P̩cs 2010 (Hungary),null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
36,2011,Seattle Storm,Krystal Thomas,Duke,null,null,7,176,3.6,0.051,16.2,3.6,4.9,0.5,null,null,null,null,null
1,2010,Connecticut Sun,Tina Charles,UConn,Center,6'4,12,391,42.2,0.134,32.2,18.2,9.3,2.2,0.8,0.9,45.2%,31.6%,78.64%
2,2010,Minnesota Lynx,Monica Wright,Virginia,Guard,5'10,7,177,5.3,0.064,18.5,7.3,2.2,1.6,0.9,0.2,40.2%,30.3%,77.1%
3,2010,Minnesota Lynx,Kelsey Griffin,Nebraska,Forward,6'2,5,164,7.3,0.099,18,4.9,4.2,0.8,0.9,0.5,37.6%,25.6%,73.4%
4,2010,Chicago Sky,Epiphanny Prince,Rutgers University,Guard,5'9,13,305,29.8,0.168,23.2,11,2.3,2.6,1.4,0.2,40.9%,37.8%,86.6%
5,2010,San Antonio Silver Stars,Jayne Appel-Marinelli,Stanford,Center,6'4 ,7,219,10.2,0.092,20.3,4,6.1,1.5,0.6,0.9,49.8%,21.1%,63.9%
6,2010,Washington Mystics,Jacinta Monroe,Florida State,Forward,6'5,2,21,0.2,0.045,6.6,1.7,1,0.2,0.2,0.4,42.9%,0%,50%
7,2010,Connecticut Sun,Danielle McCray,Kansas,Forward,5'11,3,80,1.3,0.047,13.9,4.6,2,1.1,0.6,0.1,34.3%,36.6%,78.9%
8,2010,Los Angeles Sparks,Andrea Riley,Oklahoma State,Guard,5'5,3,73,-1.9,-0.078,13,4.4,0.9,1.4,0.7,0.1,29.4%,22.2%,84.4%
9,2010,Atlanta Dream,Chanel Mokango,Mississippi State,Forward,6'5 ,1,21,-0.2,-0.126,3.4,0.4,0.6,0,0.1,0.5,17.6%,0%,75%
10,2010,Seattle Storm,Alison Lacey,Iowa State,Guard,6'0,1,21,-0.3,-0.073,6.9,0.8,0.8,0.5,0.3,0,11.4%,11.1%,100%
11,2010,Indiana Fever,Jene Morris,San Diego State,Guard,5'9,2,34,0.3,0.037,8.2,2.6,0.7,0.4,0.4,0.1,41.5%,38.3%,60%
12,2010,Los Angeles Sparks,Bianca Thomas,Ole Miss,Guard,5'10,0,null,null,null,null,null,null,null,null,null,null,null,null
13,2010,New York Liberty,Kalana Greene,UConn,null,null,6,167,5.6,0.072,18.6,4.3,2.5,1.2,null,null,null,null,null
14,2010,Washington Mystics,Jenna Smith,Illinois,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
15,2010,Connecticut Sun,Allison Hightower,LSU,null,null,6,125,3.8,0.063,19.3,6.1,1.8,1.6,null,null,null,null,null
16,2010,New York Liberty,Ashley Houts,Georgia,null,null,1,20,0.2,0.078,5.5,0.9,0.7,0.5,null,null,null,null,null
17,2010,San Antonio Silver Stars,Alysha Clark,Middle Tennessee,null,null,10,302,20.6,0.117,23.2,7,3.5,1.5,null,null,null,null,null
18,2010,Washington Mystics,Shanavia Dowdell,Louisiana Tech,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
19,2010,Tulsa Shock,Amanda Thompson,Oklahoma,null,null,2,28,0.2,0.029,8,1.7,2,0.5,null,null,null,null,null
20,2010,Los Angeles Sparks,Angel Robinson,Georgia,null,null,3,64,1,0.06,10.2,2.6,2.6,0.4,null,null,null,null,null
21,2010,Atlanta Dream,Brigitte Ardossi,Georgia Tech,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
22,2010,Seattle Storm,Tanisha Smith,Texas A&M,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
23,2010,Indiana Fever,Armelie Lumanu,Mississippi State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
24,2010,Phoenix Mercury,Tyra Grant,Penn State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
25,2010,New York Liberty,Cory Montgomery,Nebraska,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
26,2010,Minnesota Lynx,Gabriela Marginean,Drexel,null,null,1,4,0,-0.095,3,0.5,1,0.3,null,null,null,null,null
27,2010,Connecticut Sun,Johannah Leedham,Franklin Pierce University,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
28,2010,Chicago Sky,Abi Olajuwon,Oklahoma,null,null,2,22,-0.4,-0.123,5.9,1,0.7,0.1,null,null,null,null,null
29,2010,San Antonio Silver Stars,Alexis Rack,Mississippi State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
30,2010,Washington Mystics,Alexis Gray-Lawson,California,null,null,2,46,-0.2,-0.011,13.6,4.1,1.3,1.3,null,null,null,null,null
31,2010,Tulsa Shock,Vivian Frieson,Gonzaga,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
32,2010,Los Angeles Sparks,Rashidat Junaid,Rutgers University,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
33,2010,Atlanta Dream,Brittainey Raven,Texas,null,null,1,23,0,-0.008,5.4,1.5,0.9,0.4,null,null,null,null,null
34,2010,Seattle Storm,Tijana Krivacevic,Hungary,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
35,2010,Indiana Fever,Joy Cheek,Duke,null,null,2,10,-0.1,-0.093,5,1.8,0.6,0.1,null,null,null,null,null
36,2010,Phoenix Mercury,Nyeshia Stevenson,Oklahoma,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
1,2009,Atlanta Dream,Angel McCoughtry,Louisville,Forward-Guard,6'1,13,311,37.6,0.173,28,18.6,5,2.9,2,0.6,42.9%,29.3%,80.2%
2,2009,Washington Mystics,Marissa Coleman,Maryland,Guard-Forward,6'1,10,319,9.8,0.058,21,6.7,3.1,1.3,0.7,0.3,37.1%,34.2%,76.2%
3,2009,Chicago Sky,Kristi Toliver,Maryland,Guard,5'7,13,369,30.9,0.122,27.4,12,2.2,3.5,0.9,0.1,44.3%,38.3%,87.9%
4,2009,Minnesota Lynx,Renee Montgomery,UConn,Guard,5'7,11,364,19.8,0.092,23.6,9.7,1.7,3.1,1,0.1,38.6%,34.7%,84%
5,2009,Phoenix Mercury,DeWanna Bonner,Auburn,Guard-Forward,6'4,13,422,51.7,0.162,30.3,14.7,6.2,2.3,1.2,0.6,40.6%,30.5%,85.8%
6,2009,Indiana Fever,Briann January,Arizona State,Guard,5'8,14,393,17.5,0.069,25.8,7.8,1.7,3.4,1,0.2,38.5%,37.6%,84.5%
7,2009,Sacramento Monarchs,Courtney Paris,Oklahoma,Center,6'4,10,297,15.9,0.136,15.8,4.7,5.4,0.7,0.4,0.6,52.9%,0%,48.7%
8,2009,New York Liberty,Kia Vaughn,Rutgers University,Center,6'4,13,386,11.9,0.067,18.5,5.9,4.2,0.8,0.5,0.5,46.8%,10%,66.8%
9,2009,Minnesota Lynx,Quanitra Hollingsworth,VCU,Center,6'5,5,124,1.9,0.05,12.2,3.6,3.2,0.2,0.4,0.2,45.6%,0%,67.3%
10,2009,Connecticut Sun,Chante Black,Duke,Center,6'5 ,4,97,1.7,0.044,15.6,3.8,4.2,0.4,0.5,1,48.2%,0%,53.2%
11,2009,Detroit Shock,Shavonte Zellous,Pitt,Guard,5'10,12,363,20.2,0.101,21.9,8.5,2.7,1.9,0.7,0.4,39.8%,29.1%,80.1%
12,2009,Seattle Storm,Ashley Walker,California,Forward-Center,6'1,4,25,-0.4,-0.085,7,1.5,1.7,0.4,0.3,0.2,22%,15%,81.8%
13,2009,Los Angeles Sparks,Lindsay Wisdom-Hylton,Purdue,Forward,6'2,4,124,2.2,0.062,11.4,3.2,2.4,0.6,0.5,0.6,47.4%,20%,67.5%
14,2009,San Antonio Silver Stars,Megan Frazee,Liberty,null,null,2,39,0.8,0.073,10.9,4.7,2.7,0.4,null,null,null,null,null
15,2009,Minnesota Lynx,Rashanda McCants,UNC,null,null,2,57,0,0.002,15,4.8,2.1,0.9,null,null,null,null,null
16,2009,Chicago Sky,Danielle Gant,Texas A&M,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
17,2009,Connecticut Sun,Lyndra Littles,Virginia,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
18,2009,Detroit Shock,Britany Miller,Florida State,null,null,1,1,0,-0.041,8,0,0,0,null,null,null,null,null
19,2009,Indiana Fever,Christina Wirth,Vanderbilt,null,null,1,21,0.2,0.063,5.8,1,0.7,0.6,null,null,null,null,null
20,2009,Sacramento Monarchs,Whitney Boddie,Auburn,null,null,1,4,0,0.002,2.3,0.5,0,0,null,null,null,null,null
21,2009,New York Liberty,Abby Waner,Duke,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
22,2009,Los Angeles Sparks,Ashley Paris,Oklahoma,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
23,2009,Washington Mystics,Camille LeNoir,USC,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
24,2009,Washington Mystics,Jelena Milovanovic,MKB Euroleasing,null,null,1,16,0.1,0.021,11.3,4.4,1.5,0.6,null,null,null,null,null
25,2009,Atlanta Dream,Shalee Lehning,Kansas State,null,null,3,85,2.1,0.049,20,3.1,2.3,3.8,null,null,null,null,null
26,2009,San Antonio Silver Stars,Sonja Petrovic,Serbia,null,null,2,61,1.2,0.054,15,5,2.2,0.8,null,null,null,null,null
27,2009,Atlanta Dream,Jessica Morrow,Baylor,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
28,2009,Washington Mystics,Josephine Owino,Union University,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
29,2009,Chicago Sky,Jennifer Risper,Vanderbilt,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
30,2009,Minnesota Lynx,Emily Fox,Minnesota,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
31,2009,Phoenix Mercury,Sha Brooks,Florida,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
32,2009,Indiana Fever,Danielle Campbell,Purdue,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
33,2009,Sacramento Monarchs,Morgan Warburton,Utah,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
34,2009,Phoenix Mercury,Jessica Adair,George Washington,null,null,3,51,1.5,0.119,9.9,3.6,2.7,0.3,null,null,null,null,null
35,2009,Los Angeles Sparks,Britney Jordan,Texas A&M University-Commerce,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
36,2009,Connecticut Sun,Alba Torrens,Real Club Celta Indepo (Spain),null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
37,2009,Detroit Shock,Tanae Davis-Cain,Florida State,null,null,1,1,-0.1,-0.531,4,2,2,0,null,null,null,null,null
38,2009,Seattle Storm,Mara Freshour,Florida State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
39,2009,San Antonio Silver Stars,Candyce Bingham,Louisville,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
1,2008,Los Angeles Sparks,Candace Parker,Tennessee,Forward-Center,6'4,15,392,62.2,0.207,30.7,16.4,8.6,4,1.3,1.5,47.7%,33.4%,76.9%
2,2008,Chicago Sky,Sylvia Fowles,LSU,Center,6'6,15,408,73.5,0.239,30.2,15.7,9.8,1.1,1.2,1.8,59.9%,100%,72.8%
3,2008,Minnesota Lynx,Candice Wiggins,Stanford,Guard,5'11,8,221,12,0.098,22.3,8.6,2.4,1.9,1,0.2,37.1%,36.3%,83.3%
4,2008,Detroit Shock,Alexis Hornbuckle,Tennessee,Guard,5'10,6,187,2,0.023,19,4.6,3.2,1.8,1.2,0.3,35.1%,33%,63.9%
5,2008,Houston Comets,Matee Ajavon,Rutgers University,Guard,5'8,10,323,4,0.029,17.4,6.9,1.8,1.8,1,0.1,34.7%,26.6%,78.2%
6,2008,Washington Mystics,Crystal Langhorne,Maryland,Forward-Center,6'2,13,406,34.4,0.132,25.7,10.9,6,1.1,0.8,0.3,56%,25.5%,70.2%
7,2008,New York Liberty,Essence Carson,Rutgers University,Guard,6'0,13,367,11.8,0.064,20.1,7.2,2.3,1.2,0.8,0.3,40.4%,32.2%,79.2%
8,2008,Atlanta Dream,Tamera Young,James Madison University,Forward,6'2,12,372,6.7,0.033,22,7.1,3.9,1.5,0.8,0.2,39.8%,30%,68.6%
9,2008,Connecticut Sun,Amber Holt,Middle Tennessee,Forward,6'0,5,140,4.2,0.058,20.8,6.9,2.9,1.8,0.6,0.1,37.5%,29.3%,80.6%
10,2008,Sacramento Monarchs,Laura Harper,Maryland,Forward-Center,6'5,2,67,1.9,0.076,15.2,5,3.7,0.5,0.4,0.6,43.4%,0%,64.9%
11,2008,Detroit Shock,Tasha Humphrey,Georgia,Center,6'3,2,58,2.3,0.103,15.8,7.2,3.2,0.7,0.5,0.3,42.5%,34.5%,78.6%
12,2008,Connecticut Sun,Ketia Swanier,UConn,Guard,5'7,5,153,-1.3,-0.03,11.5,2.5,1.4,1.7,0.5,0,34.8%,28.3%,71.4%
13,2008,Phoenix Mercury,LaToya Sanders,UNC,Forward,6'3,7,155,11.4,0.167,17.6,5.7,4.5,1,0.7,1.3,50.3%,50%,84%
14,2008,New York Liberty,Erlana Larkins,UNC,Forward,6'1,9,247,20.2,0.158,20.7,5.9,5.4,1.5,1,0.3,55.4%,0%,74.9%
15,2008,Los Angeles Sparks,Shannon Bobbitt,Tennessee,null,null,4,118,0.1,0.002,14.9,3.2,1.4,2.2,null,null,null,null,null
16,2008,Minnesota Lynx,Nicky Anosike,Tennessee,null,null,5,139,12.5,0.134,26.8,8.9,6.6,1.7,null,null,null,null,null
17,2008,Houston Comets,Erica White,LSU,null,null,2,36,0.4,0.034,12.3,3.4,1.4,1.4,null,null,null,null,null
18,2008,Detroit Shock,Olayinka Sanni,West Virginia,null,null,3,76,0.5,0.03,9.2,3.3,1.7,0.3,null,null,null,null,null
19,2008,Chicago Sky,Quianna Chaney,LSU,null,null,1,28,-0.2,-0.039,8.6,2.4,1,0.9,null,null,null,null,null
20,2008,Washington Mystics,Lindsey Pluimer,UCLA,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
21,2008,San Antonio Silver Stars,Chioma Nnamaka,Georgia Tech,null,null,1,12,-0.2,-0.11,7,1.3,1,0.2,null,null,null,null,null
22,2008,Seattle Storm,Allie Quigley,DePaul,null,null,14,347,18.9,0.097,22.4,10.9,2,2,null,null,null,null,null
23,2008,Connecticut Sun,Jolene Anderson,Wisconsin,null,null,1,24,0.1,0.006,15.3,4,2.4,1.1,null,null,null,null,null
24,2008,Atlanta Dream,Morenike Atunrase,Texas A&M,null,null,1,33,0,-0.004,10.5,2.2,1.5,0.7,null,null,null,null,null
25,2008,Phoenix Mercury,Leilani Mitchell,Utah,null,null,13,398,21,0.095,22.2,6.6,2.1,3,null,null,null,null,null
26,2008,Indiana Fever,Khadijah Whittington,NC State,null,null,2,25,0.4,0.072,8.4,2.2,1.6,0.3,null,null,null,null,null
27,2008,New York Liberty,Wanisha Smith,Duke,null,null,1,1,0,0,0,0,0,0,null,null,null,null,null
28,2008,Detroit Shock,Natasha Lacy,Texas-El Paso,null,null,5,79,0.4,0.015,13.6,4.4,2.1,1.8,null,null,null,null,null
29,2008,Los Angeles Sparks,Sharnee Zoll,Virginia,null,null,2,25,-0.3,-0.061,8.6,1.1,0.7,1.4,null,null,null,null,null
30,2008,Minnesota Lynx,Charde Houston,UConn,null,null,7,206,6.2,0.066,18.3,8.7,3.3,1.2,null,null,null,null,null
31,2008,Houston Comets,Crystal Kelly,Western Kentucky,null,null,3,93,3.6,0.123,12.5,4.8,2.1,0.4,null,null,null,null,null
32,2008,Atlanta Dream,Danielle Hood,University of Hartford,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
33,2008,Chicago Sky,Angela Tisdale,Baylor,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
34,2008,Washington Mystics,Krystal Vaughn,VCU,null,null,1,15,-0.4,-0.228,5.2,0.8,1,0,null,null,null,null,null
35,2008,New York Liberty,Alberta Auguste,Tennessee,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
36,2008,Seattle Storm,Kimberly Beck,George Washington,null,null,1,17,0.4,0.151,5.5,1,0.7,0.4,null,null,null,null,null
37,2008,Connecticut Sun,Lauren Ervin,Arkansas,null,null,1,8,0,0.029,7,2,1.6,0,null,null,null,null,null
38,2008,Sacramento Monarchs,A'Quonesia Franklin,Texas A&M,null,null,2,36,0,-0.004,10.3,1.5,1.3,1.7,null,null,null,null,null
39,2008,San Antonio Silver Stars,Alex Anderson,Chattanooga,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
40,2008,Sacramento Monarchs,Izabela Piekarska,Texas-El Paso,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
41,2008,Phoenix Mercury,Marscilla Packer,Ohio State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
42,2008,Detroit Shock,Val Berezhynska,Rice University,null,null,1,2,-0.1,-0.363,3,0,0,0,null,null,null,null,null
43,2008,Sacramento Monarchs,Charel Allen,Notre Dame,null,null,1,6,0,-0.033,8.2,2.7,1,0.5,null,null,null,null,null
1,2007,Phoenix Mercury,Lindsey Harding,Duke,Guard,5'8,9,270,14.3,0.074,28.7,9.8,2.9,4,1.1,0.2,41.4%,25.2%,75.5%
2,2007,San Antonio Silver Stars,Jessica Davenport,Ohio State,Center,6'5,6,174,8,0.132,13.9,6.6,3.1,0.4,0.5,0.9,50.8%,14.3%,73.2%
3,2007,Chicago Sky,Armintie Herrington,Ole Miss,Guard,5'9,9,290,14.4,0.092,21.5,5.9,3.3,2,1.2,0.2,45.4%,7.1%,56%
4,2007,Minnesota Lynx,Noelle Quinn,UCLA,Guard,6'0,12,382,9.4,0.049,20.1,4.8,2.6,2.3,0.7,0.2,39.6%,32.2%,79.7%
5,2007,New York Liberty,Tiffany Jackson-Jones,Texas,Forward,6'3,9,225,5.6,0.055,18.3,6.2,4.5,0.9,0.8,0.3,44.3%,33.3%,71.2%
6,2007,Washington Mystics,Bernice Mosby,Baylor,Forward,6'1,3,76,0.9,0.06,8.3,2.3,2.2,0.2,0.2,0.2,41.9%,0%,79.6%
7,2007,Seattle Storm,Katie Gearlds,Purdue,Guard-Forward,6'1,3,87,2.9,0.102,13.2,4.4,1.4,0.6,0.3,0.1,38.2%,38%,80.8%
8,2007,Houston Comets,Ashley Shields,Southwest Tennessee Community College,Guard,5'10,2,36,-1,-0.114,10,4.5,1,0.6,0.3,0,27.5%,34.5%,72.8%
9,2007,Indiana Fever,Alison Bales,Duke,Center,6'7,4,116,6.8,0.142,16.4,4.1,3.9,0.7,0.5,1.3,45.8%,37.8%,76.1%
10,2007,Chicago Sky,Carla Thomas,Vanderbilt,Forward,6'3,1,17,0.3,0.087,7.2,2.5,1.6,0.2,0.1,0.2,39.5%,0%,92.9%
11,2007,Detroit Shock,Ivory Latta,UNC,Guard,5'6,11,323,17.5,0.09,24.2,10.7,1.7,2.7,0.8,0,39.3%,36.9%,84.8%
12,2007,Connecticut Sun,Kamesha Hairston,Temple,Forward,6'0,1,17,0,-0.002,8.7,1.9,1.8,0.4,0.4,0,24.4%,25%,75%
13,2007,Connecticut Sun,Sandrine Gruda,Valenciennes (France),Forward-Center,6'4,6,133,4.5,0.075,18,7.6,3.8,0.9,0.6,0.7,45.7%,18.2%,65.4%
14,2007,Houston Comets,Dee Davis,Vanderbilt,null,null,1,3,-0.2,-0.342,6.3,2,0,0,null,null,null,null,null
15,2007,Minnesota Lynx,Shay Murphy,USC,null,null,9,225,7.9,0.112,12.6,4.7,2.4,0.7,null,null,null,null,null
16,2007,New York Liberty,Shay Doron,Maryland,null,null,1,7,0,0.029,5,1.4,0.4,0,null,null,null,null,null
17,2007,San Antonio Silver Stars,Camille Little,UNC,null,null,13,431,21.7,0.081,24.8,8.2,4.2,1.4,null,null,null,null,null
18,2007,Phoenix Mercury,Tyresa Smith,University of Delaware,null,null,1,1,0,-0.002,7,1,2,0,null,null,null,null,null
19,2007,Washington Mystics,Megan Vogel,South Dakota State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
20,2007,Chicago Sky,Stephanie Raymond,Northern Illinois,null,null,1,20,0,-0.006,9,3.1,0.7,1.4,null,null,null,null,null
21,2007,Sacramento Monarchs,Jessica Dickson,South Florida,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
22,2007,Indiana Fever,Lyndsey Medders,Iowa State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
23,2007,Minnesota Lynx,Brooke Smith,Stanford,null,null,3,47,0.9,0.092,8.7,2.2,2.1,0.3,null,null,null,null,null
24,2007,Minnesota Lynx,Kathrin Ress,Boston College,null,null,1,28,-0.2,-0.028,12.4,3,2.5,0.6,null,null,null,null,null
25,2007,Los Angeles Sparks,Sidney Spencer,Tennessee,null,null,5,144,5.6,0.113,13.6,4.9,1.9,0.6,null,null,null,null,null
26,2007,Connecticut Sun,Cori Chambers,Georgia,null,null,1,1,-0.1,-2.948,1,0,0,0,null,null,null,null,null
27,2007,Chicago Sky,Jenna Rubino,DePaul,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
28,2007,Phoenix Mercury,Leah Rush,Oklahoma,null,null,1,2,-0.1,-0.244,6,1.5,0,0,null,null,null,null,null
29,2007,New York Liberty,Martina Weber,Iona College,null,null,1,2,-0.1,-0.595,2,0,0.5,0,null,null,null,null,null
30,2007,San Antonio Silver Stars,Nare Diawara,Virginia Tech,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
31,2007,Phoenix Mercury,Chrissy Givens,Middle Tennessee,null,null,1,3,-0.1,-0.206,3.3,0.7,0,0.7,null,null,null,null,null
